"Timestamp, Description",Interst/Alarm,Confusion/Understanding,Frusteration/Relief,Sorrow/Joy,Anger/Gratitude,Fear/Hope,Boredom/Surprise,Disgust/Desire
1633118947.686633,"It moved forward made an ""ah"" sound, then stopped and lowered it's head. Seemed disappointed. ",3,4,2,2,3,3,2,3
1633119050.2864125,It turned in a wide radius in the clockwise direction and then raised it's arm.,2,3,3,3,3,4,3,4
1633119150.6286294,"IT moved forward raised it's head, made an ah sound, turned and then lowered i's head",2,3,2,2,3,4,3,4
1633119244.3788834,It raised it's arm a tiny bit. Not much emotion associated ,3,3,3,3,3,3,2,3
1633119334.2058632,"It turned around from me, and ran into the edge of it's charging dock before lowering it's arm and making a noise lowering in pitch.",4,1,3,3,3,3,4,3
1633119469.5797303,It performed no visible or auditory action.,3,3,3,3,3,3,3,3
1633119616.5268602,"Moved in a counter clockwise direction paused said ""hoi"" continued moving, stopped, then said ""hoi"" again.

",1,3,3,4,3,4,3,3
1633119771.7305896,"Did a little zig zag and said ""hmm?"" between the zig and zag",1,2,3,3,3,3,4,3
1633119859.6195972,"Made a ""Ahhm"" noise and raised it's arm.",3,3,4,3,3,3,1,3
1633119934.0756958,"Moved forward, raised it's arm, then lowered it's arm and lowered it's head.",3,3,3,1,3,3,2,2
1633120004.7798848,"Made a aahm sound and moved in a counter clockwise direction,",3,3,3,3,3,3,1,3
1633120071.203803,"Moved forward and raised it's head slowly. Then moved forward more quickly raised it's head more quickly and made a ""ahh noise.",1,3,3,3,3,3,3,5
1633120147.7640712,It lowered it's head,3,4,3,1,3,3,2,3
1633120201.0281162,"It moved forward raised it's head and then moved forward made an ""Ah"" Noise then lowered it's head and arm ",2,3,3,2,3,4,3,4
1633373656.0610828,interest,1,2,3,3,3,3,4,3
1633373733.4669967,interest,1,1,3,3,3,3,4,3
1633373800.8607829,arm movement,3,2,3,3,3,3,3,3
1633373900.815646,"head and arm movement, before moving in a half circle, and putting had and arm back down",2,2,3,5,3,4,4,3
1633373972.8819318,tilted head down and made a v_v face,4,3,3,1,3,2,3,3
1633374034.1712818,moved forward and said 'oh',5,2,3,3,3,3,4,3
1633374109.9578059,moved forward and said 'e' before tilting head up,2,3,3,5,3,3,4,3
1633374205.6417065,put arms up and head down in defeat ,3,5,4,1,3,2,3,3
1633374272.609164,"moved forward, stopped, said 'a?', turned and moved forward while saying 'e'",2,1,3,3,3,4,4,4
1633374369.1884336,"tilted head all the way up, moved arms up before moving forward and turning",1,2,3,3,3,4,5,3
1633374459.553243,"moved arms up, looked around slightly before putting them back down",2,1,3,1,3,3,4,3
1633374560.2554905,put arms up and waved slightly,2,3,3,4,4,4,3,3
1633374640.1375566,put arms up slightly,2,2,3,3,3,3,3,3
1633374708.2025669,"put arms down, turned and moved while saying 'i', stopped, turned more while going forward, putting hands up, and saying 'peru'",1,3,3,3,3,3,3,3
1633374839.6849196,put arms down and turned head up while making an angry face,3,3,2,3,1,3,3,1
1633374899.1746056,put arm down,2,1,3,3,3,3,4,3
1633374970.3439183,put arm up,4,2,3,3,3,2,4,3
1633375035.1874535,tilted head up and moved forward,1,2,3,3,3,3,4,3
1633375110.1864474,"moved forward and put hands down, stopped, turned and moved forward while saying 'a?' and putting arms up",2,1,3,3,3,3,4,3
1633375203.7806106,"moved forward and put head up, stopped, moved forward while putting arms up and looking down",2,3,3,2,4,4,3,3
1633375348.8395162,"looked up and moved arms up, said 'a?', moved while putting arms down and saying 'e'",2,1,4,4,3,3,3,3
1633375439.05708,"put head down, turned away, and put arms up",3,3,2,1,3,3,4,3
